3342014	29649
6273836	29648
6273838	55497
6273843	29654
7595578	55326
40218207	55489
61741967	451758
61741981	62340
61741982	51024
61741983	62339
61741984	319738
61741986	55455
145688030	55318
145688047	403037
145688048	189328
145688059	62343
145688065	246702
307601305	55488
332514742	29655
339740706	214525
339510346	29652
374251115	83836
374251116	55455
374251117	55315
374251118	180123
374251119	29655
374251120	29655
374251121	29655
374251122	55326
374251123	55326
374251124	1137756
374251125	55323
374251126	1046423
374251127	55449
374251128	55496
374251129	319738
374251130	62339
374251131	180126
374251132	13078
374251133	55459
407750813	46105
