SequenceID	Identity	Coverage	Mismatches
consensus	100.00	100.00	0
AF069201.1	98.36	100.00	23
AY952384.1	98.36	100.00	23
AF168878.1	98.72	99.86	16
AY952400.1	99.50	99.86	5
AY952403.1	99.57	99.86	4
JQ041644.1	99.36	99.86	7
JQ041643.1	99.36	99.93	8
JQ041652.1	99.36	99.93	8
JQ041646.1	99.57	99.93	5
JQ041661.1	99.43	99.93	7
JQ041656.1	99.29	99.86	8
EF526335.1	99.50	99.93	6
EF526347.1	99.50	99.93	6
AY952399.1	99.43	99.93	7
AY952398.1	99.50	99.93	6
JQ041658.1	99.15	99.79	9
JQ041659.1	99.50	99.93	6
AF168876.1	98.15	99.93	25
JQ041653.1	98.50	99.93	20
JQ041654.1	98.79	99.93	16
JQ041655.1	98.72	99.93	17
AY491942.1	98.86	99.93	15
GQ497582.1	98.79	100.00	17
AF207058.1	99.43	100.00	8
JQ041651.1	99.43	100.00	8
AY952401.1	99.36	100.00	9
HQ445940.1	99.29	100.00	10
JQ041649.1	99.29	100.00	10
JQ041650.1	99.43	100.00	8
HQ660595.1	99.50	100.00	7
JQ041647.1	99.00	99.93	13
JQ041648.1	98.93	99.86	13
JQ041645.1	98.65	99.93	18
JQ041657.1	98.86	99.93	15
JQ041660.1	98.79	99.93	16
JN034103.1	98.36	99.79	20
AF168883.1	98.08	99.93	26
EF526318.1	98.22	99.93	24
EF526353.1	98.22	99.93	24
EF526336.1	98.22	99.93	24
JX446578.1	86.47	99.43	182
