SequenceID	Identity	Coverage	Mismatches
consensus	100.00	100.00	0
AF069201.1	80.86	83.56	91
AY952384.1	80.86	83.56	91
AF168878.1	88.11	84.14	99
AY952403.1	97.29	80.54	6
JQ041644.1	97.17	78.94	8
JQ041656.1	96.63	78.99	18
JQ041643.1	97.05	78.99	11
JQ041652.1	97.11	78.99	10
JQ041646.1	97.29	79.04	8
JQ041661.1	97.05	79.04	12
EF526335.1	82.54	86.67	137
EF526347.1	82.54	86.67	137
AY952400.1	96.26	81.23	24
AY952399.1	86.97	85.99	126
AY952398.1	97.17	80.69	10
JQ041658.1	96.93	79.09	15
JQ041659.1	82.45	92.61	302
AF168876.1	86.69	84.97	132
JQ041653.1	96.44	68.24	20
JQ041654.1	96.72	68.34	18
JQ041655.1	96.65	68.34	19
AY491942.1	86.92	86.09	129
GQ497582.1	85.95	87.60	161
AF207058.1	88.24	84.82	101
JQ041651.1	97.35	68.29	8
AY952401.1	96.70	80.74	19
HQ445940.1	89.65	83.03	70
JQ041649.1	97.21	68.29	10
JQ041650.1	97.35	68.34	9
HQ660595.1	81.53	88.18	167
JQ041648.1	96.86	68.24	14
JQ041647.1	96.93	68.29	14
JQ041645.1	96.58	68.24	18
JQ041657.1	96.79	68.24	15
JQ041660.1	96.72	68.29	17
JN034103.1	95.95	78.60	28
AF168883.1	86.88	85.17	128
EF526318.1	81.49	86.82	161
EF526353.1	81.49	86.82	161
EF526336.1	81.49	86.82	161
JX446578.1	75.99	82.78	306
