SequenceID	Identity	Coverage	Mismatches
consensus	100.00	100.00	0
AF069201.1	88.24	83.24	90
AF168876.1	86.37	84.64	131
AF168878.1	87.68	83.82	100
AF168883.1	86.51	84.84	128
AF207058.1	87.86	84.50	101
AY491942.1	86.60	85.76	128
AY952384.1	88.24	83.24	90
AY952398.1	95.65	80.38	11
AY952399.1	86.60	85.66	126
AY952400.1	94.76	80.91	25
AY952401.1	95.24	80.43	19
AY952403.1	95.76	80.23	7
EF526318.1	85.08	86.48	160
EF526335.1	86.13	86.34	137
EF526336.1	85.08	86.48	160
EF526347.1	86.13	86.34	137
EF526353.1	85.08	86.48	160
GQ497582.1	85.54	87.26	162
HQ445940.1	89.26	82.70	70
HQ660595.1	85.07	87.84	166
JN034103.1	95.49	78.29	28
JQ041643.1	96.59	78.68	11
JQ041644.1	96.71	78.63	8
JQ041645.1	96.25	67.97	18
JQ041646.1	96.83	78.73	8
JQ041647.1	96.59	68.02	14
JQ041648.1	96.53	67.97	14
JQ041649.1	96.87	68.02	10
JQ041650.1	97.01	68.07	9
JQ041651.1	97.01	68.02	8
JQ041652.1	96.65	78.68	10
JQ041653.1	96.18	67.97	19
JQ041654.1	96.46	68.07	17
JQ041655.1	96.39	68.07	18
JQ041656.1	96.17	78.68	18
JQ041657.1	96.46	67.97	15
JQ041658.1	96.65	78.78	12
JQ041659.1	82.16	92.25	301
JQ041660.1	96.46	68.02	16
JQ041661.1	96.59	78.73	12
JX446578.1	79.30	82.46	292
